Player ID,ID,Name,Earnings (Year),Earnings (Overall),,Year
72,Philippines Gabbi,Kim Villafuerte Santos,"$366,370.40","$493,871.35",74.18%,2019
73,Canada Arteezy,Artour Babaev,"$352,310.40","$2,615,717.71",13.47%,2019
74,Denmark Cr1t,Andreas Nielsen,"$352,310.40","$2,366,380.71",14.89%,2019
75,Israel Fly,Tal Aizik,"$351,310.40","$2,742,498.46",12.81%,2019
76,United States Riversan,River Handley,"$345,275.00","$403,466.67",85.58%,2019
77,Canada hiimtylerh,Tyler -,"$341,250.00","$341,250.00",100.00%,2019
78,Belgium Suezhoo,Stephan -,"$341,250.00","$341,250.00",100.00%,2019
79,Denmark Zand,- -,"$341,250.00","$341,250.00",100.00%,2019
80,United States Cizzorz,Jack Cizek,"$336,250.00","$352,916.67",95.28%,2019
81,United States Megga,Noam Ackenine,"$323,616.67","$406,868.32",79.54%,2019
82,Sweden s4,Gustav Magnusson,"$320,400.40","$2,749,353.74",11.65%,2019
83,United States ZexRow,Anthony Colandro,"$313,550.00","$512,474.73",61.18%,2019
84,United States Clayster,James Eubanks,"$311,375.00","$1,217,396.68",25.58%,2019
85,Italy Andrea Mengucci,Andrea Mengucci,"$310,800.00","$332,300.00",93.53%,2019
86,United States aBeZy,Tyler Pharris,"$310,114.00","$1,504,905.68",20.61%,2019
87,United States Arcitys,Alec Sanderson,"$310,114.00","$1,394,679.09",22.24%,2019
88,United States Prestinni,Preston Sanderson,"$305,875.00","$617,973.43",49.50%,2019
89,Pakistan SumaiL,Sumail Hassan,"$305,310.40","$3,900,389.31",7.83%,2019
90,Russian Federation RAMZES666,Roman Kushnarev,"$304,153.73","$1,848,752.48",16.45%,2019
91,"Korea, Republic of Dark","Park, Ryung Woo","$295,487.95","$990,894.92",29.82%,2019
92,Austria Tschiiinken,Thomas Hörak,"$290,412.94","$329,476.94",88.14%,2019
93,United States Simp,Christopher Lehr,"$288,500.00","$1,465,578.33",19.69%,2019
94,Norway Hunterace,Casper Notto,"$285,026.00","$343,765.34",82.91%,2019
95,Germany Mo_aubameyang,Mohammed Harkous,"$277,033.30","$383,590.83",72.22%,2019
96,Russian Federation Solo,Aleksey Berezin,"$276,553.73","$1,819,884.21",15.20%,2019
97,Philippines Eyyou,Nico Barcelon,"$274,720.40","$430,272.94",63.85%,2019
98,"Taiwan, Republic of China Last Guardian","Wu, Huai-Yong","$274,032.86","$274,512.86",99.83%,2019
99,Russian Federation RodjER,Vladimir Nikogosyan,"$268,153.73","$1,401,602.77",19.13%,2019
100,Russian Federation ubah,Ivan Kapustin,"$268,125.00","$660,296.27",40.61%,2019
1,Norway DrNykterstein,Magnus Carlsen,"$510,586.52","$1,169,407.90",43.66%,2020
2,China NuanYang,"Lin, Heng","$491,368.89","$856,612.79",57.36%,2020
3,China Adou,"Jiang, Tao","$491,368.89","$690,310.70",71.18%,2020
4,China ShenRen,"Ma, Tengfei","$491,368.89","$606,109.73",81.07%,2020
5,China QianShi,"Zhou, Kuan","$491,368.89","$582,900.61",84.30%,2020
6,China ShiJiu,"Chen, Runzhi","$478,918.65","$515,771.93",92.85%,2020
7,United States Clayster,James Eubanks,"$383,950.00","$1,217,396.68",31.54%,2020
8,United States C6,Ian Porter,"$368,200.00","$1,417,092.80",25.98%,2020
9,Canada iLLeY,Indervir Dhaliwal,"$358,625.00","$669,053.33",53.60%,2020
10,United States Shotzzy,Anthony Cuevas-Castro,"$351,625.00","$946,150.00",37.16%,2020
11,Saudi Arabia Huke,Cuyler Garland,"$347,375.00","$811,185.58",42.82%,2020
12,United States Hikaru,Hikaru Nakamura,"$329,644.58","$877,783.37",37.55%,2020
13,Brazil PVDDR,Paulo Damo da Rosa,"$300,000.00","$395,500.00",75.85%,2020
14,China paraboy,"Zhu, Bocheng","$292,554.81","$1,390,739.07",21.04%,2020
15,China YZ,"Liu, Tianhao","$266,949.73","$1,267,908.36",21.05%,2020
16,China XingY,"Li, Yuhao","$266,949.73","$652,323.82",40.92%,2020
17,United States Cellium,McArthur Jovel,"$256,550.00","$1,249,548.93",20.53%,2020
18,United States Simp,Christopher Lehr,"$250,708.33","$1,465,578.33",17.11%,2020
19,United States Priestahh,Preston Greiner,"$249,212.51","$738,029.18",33.77%,2020
20,United States GMWSO,Wesley So,"$246,180.48","$782,008.43",31.48%,2020
21,China QingQ,"Wu, Jinxiang","$244,368.40","$618,286.03",39.52%,2020
22,United States aBeZy,Tyler Pharris,"$243,025.01","$1,504,905.68",16.15%,2020
23,United States MajorManiak,Michael Szymaniak,"$228,833.33","$461,562.49",49.58%,2020
24,Canada Canadian,Troy Jaroslawski,"$225,200.00","$449,061.90",50.15%,2020
25,United States Bosco,Dylan Bosco,"$225,200.00","$373,783.33",60.25%,2020
26,United States Rampy,Nathanial Duvall,"$225,200.00","$360,693.33",62.44%,2020
27,United States Fultz,Alec Fultz,"$225,200.00","$346,600.00",64.97%,2020
28,United States Thinkingnade,Javier Escamila,"$224,200.00","$300,730.00",74.55%,2020
29,Slovenia TaySon,Tai Starčič,"$222,545.12","$1,091,834.88",20.38%,2020
30,China Order,"Zeng, Zehai","$214,013.41","$1,319,627.16",16.22%,2020
31,"Taiwan, Republic of China Jimmy","Xu, Yinjun","$212,942.26","$1,250,215.72",17.03%,2020
32,China coolboy,"Zeng, Ronghua","$212,942.26","$519,957.94",40.95%,2020
33,Japan glory,Sato Kenta,"$212,600.00","$403,446.00",52.70%,2020
34,China 33Svan,"Zhong, Hongsen","$208,471.47","$510,488.42",40.84%,2020
35,"Korea, Republic of Rogue","Lee, Byung Ryul","$207,788.24","$1,074,615.88",19.34%,2020
36,Finland Matumbaman,Lasse Urpalainen,"$203,588.00","$4,873,411.04",4.18%,2020
37,Estonia Puppey,Clement Ivanov,"$203,588.00","$4,222,572.80",4.82%,2020
38,Sweden Zai,Ludwig Wåhlberg,"$203,588.00","$3,735,937.69",5.45%,2020
39,Poland Nisha,Michał Jankowski,"$203,588.00","$2,367,218.95",8.60%,2020
40,Jordan YapzOr,Yazied Jaradat,"$203,588.00","$2,297,190.64",8.86%,2020
41,"Taiwan, Republic of China King","Lin, Yien","$201,262.56","$1,035,642.81",19.43%,2020
42,Germany JannisZ,Jannis Matwin,"$197,945.12","$764,408.38",25.90%,2020
43,Canada Zayt,Williams Aubin,"$196,614.76","$1,333,631.42",14.74%,2020
44,China Suk,"Feng, Shujie","$195,972.12","$574,236.65",34.13%,2020
45,China Hasaki,"Wu, Chunjian","$195,972.12","$490,380.19",39.96%,2020
46,China Xinhe,"Li, He","$195,972.12","$389,490.59",50.31%,2020
47,China QingChen,"Zhang, Youquan","$186,074.12","$368,782.50",50.46%,2020
48,United States Scump,Seth Abner,"$174,125.00","$1,186,505.35",14.68%,2020
49,Denmark Bubzkji,Lucas Andersen,"$174,100.00","$308,329.19",56.47%,2020
50,China JiuC,"Cao, Zhishun","$169,986.13","$522,092.53",32.56%,2020
51,China XiangJun,"Ceng, Xiangjun","$169,986.13","$253,858.88",66.96%,2020
52,United Kingdom Wolfiez,Jaden Ashman,"$168,831.40","$1,360,708.07",12.41%,2020
53,United States Envoy,Dylan Hannon,"$168,033.33","$838,779.16",20.03%,2020
54,China Yinuo,"Xu, Bicheng","$164,345.86","$519,556.68",31.63%,2020
55,China Ice,"Tang, Tian","$164,345.86","$456,249.87",36.02%,2020
56,China Six,"Xu, Yiran","$164,345.86","$326,777.81",50.29%,2020
57,"Korea, Republic of Viol2t","Park, Min Ki","$164,277.78","$454,091.68",36.18%,2020
58,"Korea, Republic of Striker","Kwon, Nam Joo","$164,277.78","$398,090.91",41.27%,2020
59,"Korea, Republic of smurf","Yoo, Myeong Hwan","$164,277.78","$386,184.16",42.54%,2020
60,United States Moth,Grant Espe,"$164,277.78","$353,964.92",46.41%,2020
61,"Korea, Republic of ChoiHyoBin","Choi, Hyo Bin","$164,277.78","$352,823.87",46.56%,2020
62,United States super,Matthew DeLisi,"$164,277.78","$346,114.69",47.46%,2020
63,"Korea, Republic of Rascal","Kim, Dong Jun","$164,277.78","$345,375.35",47.56%,2020
64,"Korea, Republic of Twilight","Lee, Joo Seok","$164,277.78","$311,272.55",52.78%,2020
65,"Korea, Republic of ANS","Lee, Seon Chang","$164,277.78","$265,953.52",61.77%,2020
66,United States FabianoCaruana,Fabiano Caruana,"$164,135.17","$318,368.41",51.56%,2020
67,United States Arcitys,Alec Sanderson,"$164,091.66","$1,394,679.09",11.77%,2020
68,Japan ta1yo,Sean Henderson,"$162,623.51","$202,101.62",80.47%,2020
69,China JackeyLove,"Yu, Wen Bo","$157,128.01","$769,718.28",20.41%,2020
70,"Taiwan, Republic of China Karsa","Hung, Hau Hsuan","$157,128.01","$575,459.59",27.30%,2020
71,China 369,"Bai, Jia Hao","$157,128.01","$357,675.47",43.93%,2020
72,China Knight,"Zhuo, Ding","$157,128.01","$321,567.93",48.86%,2020
73,China yuyanjia,"Liang, Jia Yuan","$157,128.01","$157,128.00",100.00%,2020
74,United States FormaL,Matthew Piper,"$155,650.00","$1,095,682.18",14.21%,2020
75,China XiaoYing,"Tang, Jiajie","$153,970.66","$435,650.12",35.34%,2020
76,China Qinian,"Wen, Zheng","$153,970.66","$184,359.44",83.52%,2020
77,China Beizhai,"Run, Ma","$152,175.60","$575,005.38",26.47%,2020
78,Portugal Marcio Carvalho,Marcio Carvalho,"$150,000.00","$215,100.00",69.74%,2020
79,United States Furious,- -,"$149,008.34","$155,658.34",95.73%,2020
80,"Korea, Republic of Nuguri","Jang, Ha Gwon","$148,539.31","$253,727.09",58.54%,2020
81,"Korea, Republic of ShowMaker","Heo, Su","$148,182.22","$356,315.16",41.59%,2020
82,France Andilex,Alexandre Christophe,"$147,555.00","$405,243.84",36.41%,2020
83,"Korea, Republic of BeryL","Cho, Geon Hee","$142,709.61","$400,546.43",35.63%,2020
84,"Korea, Republic of Canyon","Kim, Geon Bu","$142,709.61","$353,345.45",40.39%,2020
85,United States Prestinni,Preston Sanderson,"$142,000.00","$617,973.43",22.98%,2020
86,"Korea, Republic of Ghost","Jang, Yong Jun","$139,653.09","$300,865.19",46.42%,2020
87,Latvia YEKINDAR,Mareks Gaļinskis,"$137,100.00","$415,389.57",33.01%,2020
88,United States HusKerrs,Jordan Thomas,"$134,545.01","$422,300.49",31.86%,2020
89,United Kingdom BenjyFishy,Benjy David Fish,"$131,389.60","$610,234.29",21.53%,2020
90,Denmark sjuush,Rasmus Beck,"$128,700.00","$546,063.09",23.57%,2020
91,Denmark acoR,Frederik Gyldstrand,"$128,700.00","$284,234.72",45.28%,2020
92,Denmark roejJ,Fredrik Jørgensen,"$128,700.00","$282,342.44",45.58%,2020
93,Kazakhstan Qikert,Alexey Golubev,"$128,100.00","$547,154.13",23.41%,2020
94,Russian Federation Jame,Ali Dzhami,"$128,100.00","$544,867.72",23.51%,2020
95,Uzbekistan SANJI,Sanjar Kuliev,"$128,100.00","$325,242.42",39.39%,2020
96,Denmark Th0masHD,Thomas Høxbro Davidsen,"$127,770.00","$931,683.50",13.71%,2020
97,Kazakhstan Buster,Timur Tulepov,"$126,850.00","$492,400.80",25.76%,2020
98,United States Rush,Will Wierzba,"$125,400.00","$634,476.87",19.76%,2020
99,Denmark k0nfig,Kristian Wienecke,"$125,400.00","$518,805.81",24.17%,2020
100,Denmark blameF,Benjamin Bremer,"$125,400.00","$285,736.08",43.89%,2020
1,Ukraine Mira,Miroslaw Kolpakov,"$3,696,652.43","$3,994,807.25",92.54%,2021
2,Russian Federation Miposhka,Yaroslav Naidenov,"$3,695,573.33","$4,241,179.69",87.14%,2021
3,Russian Federation Collapse,Magomed Khalilov,"$3,695,573.33","$4,009,019.27",92.18%,2021
4,Ukraine Yatoro,Ilya Mulyarchuk,"$3,695,573.33","$4,007,781.15",92.21%,2021
5,Russian Federation TORONTOTOKYO,Alexander Khertek,"$3,695,573.33","$3,995,773.90",92.49%,2021
6,Japan kakip,Shuma Kakinuma,"$1,228,551.54","$1,228,551.54",100.00%,2021
7,China Ame,"Wang, Chunyu","$1,158,680.00","$3,912,904.27",29.61%,2021
8,China Faith_bian,"Zhang, Ruida","$1,158,680.00","$3,847,426.86",30.12%,2021
9,China y`,"Zhang, Yiping","$1,158,680.00","$3,783,587.28",30.62%,2021
10,China XinQ,"Zhao, Zixing","$1,158,680.00","$1,854,685.44",62.47%,2021
11,Malaysia NothingToSay,"Cheng, Jin Xiang","$1,118,780.00","$1,696,589.73",65.94%,2021
12,Ukraine s1mple,Alexander Kostylev,"$832,750.00","$1,718,388.65",48.46%,2021
13,Ukraine B1t,Valeriy Yevheniiovych Vakhovskiy,"$832,287.50","$1,048,991.03",79.34%,2021
14,Russian Federation electroNic,Denis Sharipov,"$832,100.00","$1,572,125.33",52.93%,2021
15,Russian Federation Perfecto,Ilya Zalutskiy,"$832,100.00","$1,170,037.44",71.12%,2021
16,Russian Federation Boombl4,Kirill Sergeyevich Mikhailov,"$832,100.00","$1,100,699.87",75.60%,2021
17,Estonia Puppey,Clement Ivanov,"$746,600.00","$4,222,572.80",17.68%,2021
18,Poland Nisha,Michał Jankowski,"$746,600.00","$2,367,218.95",31.54%,2021
19,Jordan YapzOr,Yazied Jaradat,"$746,600.00","$2,297,190.64",32.50%,2021
20,Finland Matumbaman,Lasse Urpalainen,"$744,280.00","$4,873,411.04",15.27%,2021
21,Sweden Zai,Ludwig Wåhlberg,"$744,280.00","$3,735,937.69",19.92%,2021
22,China Fly,"Peng, Yunfei","$693,005.42","$1,449,323.96",47.82%,2021
23,China 1dao,"Zhong, Letian","$693,005.42","$1,151,820.37",60.17%,2021
24,China Cyq,"Cai, Youqi","$693,005.42","$1,118,481.67",61.96%,2021
25,China fanfan,"Fan, Yang","$693,005.42","$1,118,481.67",61.96%,2021
26,China XiaoPang,"Li, Daheng","$668,084.89","$1,032,563.48",64.70%,2021
27,China flyfly,"Jin, Zhiyi","$544,722.11","$763,656.95",71.33%,2021
28,Malaysia Oli,"Chan, Chon Kien","$544,722.11","$727,485.70",74.88%,2021
29,Malaysia JT-,"Thiay, Jun Wen","$544,722.11","$726,940.92",74.93%,2021
30,China Emo,"Zhou, Yi","$544,722.11","$687,735.90",79.21%,2021
31,China KaKa,"Hu, Liangzhi","$541,116.40","$2,448,664.19",22.10%,2021
32,United States aBeZy,Tyler Pharris,"$515,916.67","$1,504,905.68",34.28%,2021
33,United States Simp,Christopher Lehr,"$498,500.00","$1,465,578.33",34.01%,2021
34,United States Cellium,McArthur Jovel,"$490,100.00","$1,249,548.93",39.22%,2021
35,United States Arcitys,Alec Sanderson,"$485,850.00","$1,394,679.09",34.84%,2021
36,China paraboy,"Zhu, Bocheng","$483,984.71","$1,390,739.07",34.80%,2021
37,Slovenia TaySon,Tai Starčič,"$468,203.87","$1,091,834.88",42.88%,2021
38,China Order,"Zeng, Zehai","$456,454.71","$1,319,627.16",34.59%,2021
39,China QingRong,"Huang, Yaoqin","$431,278.85","$1,229,548.98",35.08%,2021
40,"Taiwan, Republic of China Jimmy","Xu, Yinjun","$424,681.21","$1,250,215.72",33.97%,2021
41,China MMing,"Chen, Yinan","$414,895.30","$625,788.65",66.30%,2021
42,Japan negima,- -,"$409,517.18","$409,517.18",100.00%,2021
43,China Nannnnn,"Li, Nanjiang","$392,057.25","$558,969.50",70.14%,2021
44,China ZpYan1,"Zhou, Pinyan","$391,338.90","$580,074.03",67.46%,2021
45,China HS,"Wang, Yanwen","$388,230.50","$542,442.08",71.57%,2021
46,China ZiYang,"Xiang, Yang","$381,456.10","$1,162,900.63",32.80%,2021
47,Australia TGLTN,James Giezen,"$379,728.00","$484,625.00",78.36%,2021
48,Sweden Chapix,Moussa Faour,"$377,388.33","$745,288.34",50.64%,2021
49,United Kingdom Hen,Henrik Mclean,"$371,618.33","$716,127.84",51.89%,2021
50,United States hwinn,Hunter Winn,"$364,478.00","$506,351.44",71.98%,2021
51,United States Shrimzy,Tristan Nowicky,"$364,478.00","$486,595.19",74.90%,2021
52,United States M1ME,Austin Scherff,"$364,228.00","$461,632.69",78.90%,2021
53,Poland Setty,Iwa Zając,"$343,040.59","$682,347.59",50.27%,2021
54,Russian Federation Ax1Le,Sergey Rykhtorov,"$338,257.08","$606,030.28",55.82%,2021
55,Kazakhstan HObbit,Abay Khasenov,"$336,897.08","$794,681.25",42.39%,2021
56,Russian Federation nafany,Vladislav Gorshkov,"$336,897.08","$606,833.92",55.52%,2021
57,Russian Federation sh1ro,Dmitry Sokolov,"$336,897.08","$606,833.92",55.52%,2021
58,Russian Federation interz,Timofey Yakushin,"$336,897.08","$542,076.34",62.15%,2021
59,Poland teeq,Maciej Radzio,"$335,140.59","$490,639.53",68.31%,2021
60,Poland Kami,Michał Kamiński,"$334,840.59","$739,447.30",45.28%,2021
61,Russian Federation Nightfall,Egor Grigorenko,"$320,620.00","$528,274.40",60.69%,2021
62,Russian Federation DM,Dmitrii Dorokhin,"$320,620.00","$469,471.71",68.29%,2021
63,Russian Federation gpk,Danil Skutin,"$320,620.00","$468,713.80",68.40%,2021
64,"Moldova, Republic of Save-",Vitalie Melnic,"$320,620.00","$421,517.21",76.06%,2021
65,Russian Federation illias,Illias Ganeev,"$320,620.00","$380,074.42",84.36%,2021
66,China Dy,"Ding, Cong","$319,966.15","$972,712.36",32.89%,2021
67,China pyw,"Xiong, Jiahan","$319,966.15","$613,322.32",52.17%,2021
68,China HuaHai,"Luo, Siyuan","$318,333.86","$1,635,144.19",19.47%,2021
69,China Erika,"Yang, Shaohan","$317,820.31","$363,085.33",87.53%,2021
70,China Ori,"Zeng, Jiaoyang","$315,939.07","$1,464,226.66",21.58%,2021
71,China eLeVeN,Ren Yangwei,"$314,214.60","$1,568,475.37",20.03%,2021
72,"Taiwan, Republic of China King","Lin, Yien","$308,720.20","$1,035,642.81",29.81%,2021
73,"Korea, Republic of Pio","Cha, Seung Hoon","$306,985.60","$928,469.14",33.06%,2021
74,"Korea, Republic of Inonix","Na, Hee Joo","$304,569.50","$411,370.02",74.04%,2021
75,Norway DrNykterstein,Magnus Carlsen,"$303,946.64","$1,169,407.90",25.99%,2021
76,China QingQ,"Wu, Jinxiang","$300,173.50","$618,286.03",48.55%,2021
77,"Korea, Republic of ESTH3R","Go, Jeong-wan","$295,169.50","$909,161.56",32.47%,2021
78,United Kingdom Insight,Jamie Craven,"$294,250.00","$489,182.26",60.15%,2021
79,China Ninetails,"Xu, Xinzhen","$292,306.75","$413,030.55",70.77%,2021
80,China Dragon,"Li, Xiaolong","$292,306.75","$403,549.49",72.43%,2021
81,China QC,"Zhou, Yitao","$292,306.75","$397,042.37",73.62%,2021
82,United Kingdom Cammy,Cameron McKilligan,"$291,000.00","$525,650.00",55.36%,2021
83,United States Kickstart,Matt Smith,"$288,257.75","$415,190.94",69.43%,2021
84,China Buran,"Ye, Kang","$287,062.25","$338,465.30",84.81%,2021
85,China Beizhai,"Run, Ma","$286,697.50","$575,005.38",49.86%,2021
86,China NoFear,"Yang, Tao","$286,601.37","$427,954.60",66.97%,2021
87,China JiuK,"Wang, Tao","$286,601.37","$427,293.62",67.07%,2021
88,Denmark CleanX,Tobias Jønsson,"$286,000.00","$521,151.87",54.88%,2021
89,United Kingdom Bance,Benjamin Bance,"$285,000.00","$709,429.94",40.17%,2021
90,United Kingdom Tommey,Thomas Trewren,"$282,603.15","$612,049.28",46.17%,2021
91,China QingF,"Du, Zhou","$280,484.49","$694,149.19",40.41%,2021
92,China PengP,"Lu, Jiapeng","$280,484.49","$654,758.75",42.84%,2021
93,China AGai,"Yang, Tingpu","$280,484.49","$650,169.95",43.14%,2021
94,China BaiShou,"Fang, Qingyou","$280,484.49","$642,076.59",43.68%,2021
95,United States Roth,Dylan Short,"$277,747.50","$311,875.28",89.06%,2021
96,Canada Shinboi,Nolan Burdick,"$276,070.25","$336,118.50",82.13%,2021
97,United States Poonage,Brent Mullany,"$276,070.25","$328,677.25",83.99%,2021
98,China Ming,"Chen, Haoming","$272,280.58","$510,895.02",53.29%,2021
99,Philippines Kuku,Kuku Palad,"$271,880.00","$1,017,061.30",26.73%,2021
100,Indonesia Xepher,Kenny Deo,"$271,880.00","$384,523.24",70.71%,2021
1,Finland JerAx,Jesse Vainikka,"$2,290,631.60","$6,486,948.78",35.31%,2018
2,Denmark N0tail,Johan Sundstein,"$2,282,716.63","$7,184,163.05",31.77%,2018
3,France Ceb,Sébastien Debs,"$2,280,216.63","$5,824,509.40",39.15%,2018
4,Finland Topson,Topias Taavitsainen,"$2,249,841.60","$5,699,189.00",39.48%,2018
5,Australia ana,Anathan Pham,"$2,249,136.18","$6,024,411.96",37.33%,2018
6,China Ame,"Wang, Chunyu","$1,091,935.92","$3,912,904.27",27.91%,2018
7,China Somnus,"Lu, Yao","$1,091,935.92","$3,272,151.12",33.37%,2018
8,China fy,"Xu, Linsen","$1,091,935.92","$3,064,366.38",35.63%,2018
9,Malaysia xNova,"Yap, Jianwei","$1,091,935.92","$2,039,485.72",53.54%,2018
10,China Chalice,"Yang, Shenyi","$1,091,935.92","$1,999,742.62",54.60%,2018
11,Japan feg,Ryutaro Okumoto,"$1,000,000.00","$1,003,000.00",99.70%,2018
12,Russian Federation RAMZES666,Roman Kushnarev,"$843,291.60","$1,848,752.48",45.61%,2018
13,Russian Federation Solo,Aleksey Berezin,"$843,291.60","$1,819,884.21",46.34%,2018
